date;airTemp;waterTemp;ph;orp;treatmentPh
2022-06-02 16:00:00;30.532986;25.200001;6.6999998;591.16705;0.0
2022-06-02 16:15:00;30.38348;25.116621;6.6999998;591.83356;0.0
2022-06-02 16:30:00;30.466619;25.149992;6.6999998;593.16583;0.0
2022-06-02 16:45:00;30.450642;25.200001;6.6999998;594.49835;0.0
2022-06-02 17:00:00;30.382496;25.299368;6.6999998;595.66003;0.0
2022-06-02 17:15:00;30.698511;25.465878;6.6999998;597.83014;0.0
2022-06-02 17:30:00;30.81715;25.6495;6.6999998;609.5426;0.0
2022-06-02 17:45:00;30.816076;25.749435;6.6999998;631.73651;0.0
2022-06-02 18:00:00;31.016079;25.932047;6.6999998;642.96069;0.0
2022-06-02 18:15:00;30.803034;26.082617;6.6999998;645.49213;0.0
2022-06-02 18:30:00;30.255987;26.1;6.6999998;645.35101;0.0
2022-06-02 18:45:00;29.572561;26.001999;6.6999998;642.53003;0.0
2022-06-02 19:00:00;29.055319;25.85107;6.6999998;639.37677;0.0
2022-06-02 19:15:00;28.457546;25.653259;6.6999998;634.73285;0.0
2022-06-02 19:30:00;27.840275;25.435696;6.6999998;628.53339;0.0
2022-06-02 19:45:00;27.207489;25.153761;6.6999998;626.69189;0.0
2022-06-02 20:00:00;26.592859;24.936089;6.6999998;626.15265;0.0
2022-06-02 20:15:00;25.94199;24.605774;6.6999998;626.81812;0.0
2022-06-02 20:30:00;25.324444;24.254717;6.6999998;627.81653;0.0
2022-06-02 20:45:00;24.906773;23.906796;6.6999998;629.63208;0.0
2022-06-02 21:00:00;24.459003;23.555416;6.6999998;631.2962;0.0
2022-06-02 21:15:00;24.00762;23.174278;6.6999998;633.14716;0.0
2022-06-02 21:30:00;23.574718;22.841457;6.6999998;634.77173;0.0
2022-06-02 21:45:00;23.175102;22.50423;6.6999998;638.62476;0.0
2022-06-02 22:00:00;22.856449;22.25647;6.618824;641.43506;0.0
2022-06-02 22:15:00;22.523153;21.908686;6.5999999;644.57941;0.0
2022-06-02 22:30:00;22.337708;21.556562;6.5999999;648.20105;0.0
2022-06-02 22:45:00;22.056812;21.256828;6.5999999;653.90845;0.0
2022-06-02 23:00:00;21.757135;20.957151;6.5857606;658.85626;0.0
2022-06-02 23:15:00;21.471613;20.657492;6.5;663.09113;0.0
2022-06-02 23:30:00;21.271734;20.357624;6.5;668.84686;0.0
2022-06-02 23:45:00;21.07176;20.071774;6.4859033;674.26849;0.0
