date;type;value
2021-12-01 22:15:00;airTemp;8.2333364
2021-12-01 22:30:00;airTemp;8.2333403
2021-12-01 22:45:00;airTemp;8.2854261
2021-12-01 23:00:00;airTemp;8.3333368
2021-12-01 23:15:00;airTemp;8.3512278
2021-12-01 23:30:00;airTemp;8.3999996
2021-12-01 23:45:00;airTemp;8.3999996
2021-12-02 00:00:00;airTemp;8.3999996
2021-12-02 00:15:00;airTemp;8.3999996
2021-12-02 10:00:00;waterTemp;5.9000001
2021-12-02 10:15:00;waterTemp;5.939908
2021-12-02 10:30:00;waterTemp;6.0
2021-12-02 10:45:00;waterTemp;6.0
2021-12-02 11:00:00;waterTemp;6.0054617
2021-12-02 11:15:00;waterTemp;6.1054597
2021-12-02 11:30:00;waterTemp;6.2052674
2021-12-02 11:45:00;waterTemp;6.3000002
2021-12-02 12:00:00;waterTemp;6.371141
2021-12-02 12:15:00;waterTemp;6.437706
2021-12-02 12:30:00;waterTemp;6.5043564
2021-12-02 12:45:00;waterTemp;6.6420302
2021-12-02 13:00:00;waterTemp;6.769628
2021-12-02 13:15:00;waterTemp;6.0999999
2021-12-02 13:30:00;waterTemp;6.0999999
2021-12-02 13:45:00;waterTemp;6.0999999
2021-12-02 14:00:00;waterTemp;6.0999999
2021-12-02 14:15:00;waterTemp;6.0999999
2021-12-02 14:30:00;waterTemp;6.0999999
2021-12-02 14:45:00;waterTemp;6.0999999
2021-12-02 15:00:00;waterTemp;6.0999999
2021-12-02 15:15:00;waterTemp;6.0999999
2021-12-02 15:30:00;waterTemp;6.0999999
2021-12-02 15:45:00;waterTemp;6.0999999
2021-12-02 16:00:00;waterTemp;6.0999999
2021-12-02 16:15:00;waterTemp;6.0999999
2021-12-02 16:30:00;waterTemp;6.0999999
2021-12-02 16:45:00;waterTemp;6.0999999
2021-12-02 17:00:00;waterTemp;6.0999999
2021-12-02 17:15:00;waterTemp;5.8336339
2021-12-02 17:30:00;waterTemp;5.6023293
2021-12-02 17:45:00;waterTemp;5.4011445
2021-12-02 18:00:00;waterTemp;5.2692528
2021-12-02 18:15:00;waterTemp;5.1689682
2021-12-02 18:30:00;waterTemp;5.0689802
2021-12-02 18:45:00;waterTemp;4.8046365
2021-12-02 19:00:00;waterTemp;4.6726875
2021-12-02 19:15:00;waterTemp;4.5700822
2021-12-02 19:30:00;waterTemp;4.40342
2021-12-02 19:45:00;waterTemp;4.3367634
2021-12-02 20:00:00;waterTemp;4.2367735
2021-12-02 20:15:00;waterTemp;4.1999998
2021-12-02 20:30:00;waterTemp;4.1999998
2021-12-02 20:45:00;waterTemp;4.1999998
2021-12-02 21:00:00;waterTemp;4.2287869
2021-12-02 21:15:00;waterTemp;4.2046537
2021-12-02 21:30:00;waterTemp;4.2943759
2021-12-02 21:45:00;waterTemp;4.3276882
2021-12-02 22:00:00;waterTemp;4.4000001
2021-12-02 22:15:00;waterTemp;4.4000001
2021-12-02 22:30:00;waterTemp;4.4000001
2021-12-02 22:45:00;waterTemp;4.4000001
2021-12-02 23:00:00;waterTemp;4.4000001
2021-12-02 23:15:00;waterTemp;4.4929476
2021-12-02 23:30:00;waterTemp;4.4073405
2021-12-02 23:45:00;waterTemp;4.4000001
2021-12-03 00:00:00;waterTemp;4.3411884
2021-12-03 00:15:00;waterTemp;4.3000002
2021-12-03 00:30:00;waterTemp;4.2412081
2021-12-03 00:45:00;waterTemp;4.1999998
2021-12-03 01:00:00;waterTemp;4.1999998
2021-12-03 01:15:00;waterTemp;4.1999998
2021-12-03 01:30:00;waterTemp;4.1999998
2021-12-03 01:45:00;waterTemp;4.2333374
2021-12-03 02:00:00;waterTemp;4.2910233
2021-12-03 02:15:00;waterTemp;4.3000002
2021-12-03 02:30:00;waterTemp;4.3000002
2021-12-03 02:45:00;waterTemp;4.3000002
2021-12-03 03:00:00;waterTemp;4.2434125
2021-12-03 03:15:00;waterTemp;4.1999998
2021-12-03 03:30:00;waterTemp;4.1999998
2021-12-03 03:45:00;waterTemp;4.1101332
2021-12-03 04:00:00;waterTemp;4.0999999
2021-12-03 04:15:00;waterTemp;4.0999999
2021-12-03 04:30:00;waterTemp;4.1221418
2021-12-03 04:45:00;waterTemp;4.1333227
2021-12-03 05:00:00;waterTemp;4.1999998
2021-12-03 05:15:00;waterTemp;4.1445537
2021-12-03 05:30:00;waterTemp;4.0999999
2021-12-03 05:45:00;waterTemp;4.1210294
2021-12-03 06:00:00;waterTemp;4.1456442
2021-12-03 06:15:00;waterTemp;4.0999999
2021-12-03 06:30:00;waterTemp;4.0999999
2021-12-03 06:45:00;waterTemp;4.046504
2021-12-03 07:00:00;waterTemp;3.9800847
2021-12-03 07:15:00;waterTemp;3.9333367
2021-12-03 07:30:00;waterTemp;3.9000001
2021-12-03 07:45:00;waterTemp;3.9000001
2021-12-03 08:00:00;waterTemp;4.2010341
2021-12-03 08:15:00;waterTemp;5.6521564
2021-12-03 08:30:00;waterTemp;5.6854644
2021-12-03 08:45:00;waterTemp;5.6999998
2021-12-03 09:00:00;waterTemp;5.6999998
2021-12-03 09:15:00;waterTemp;5.6999998
2021-12-03 09:30:00;waterTemp;5.7510295
2021-12-02 10:00:00;airTemp;8.6263485
2021-12-02 10:15:00;airTemp;9.106142
2021-12-02 10:30:00;airTemp;9.7748547
2021-12-02 10:45:00;airTemp;10.543917
2021-12-02 11:00:00;airTemp;11.232843
2021-12-02 11:15:00;airTemp;11.755207
2021-12-02 11:30:00;airTemp;12.077399
2021-12-02 11:45:00;airTemp;12.195116
2021-12-02 12:00:00;airTemp;12.066661
2021-12-02 12:15:00;airTemp;12.142088
2021-12-02 12:30:00;airTemp;12.450798
2021-12-02 12:45:00;airTemp;12.808716
2021-12-02 13:00:00;airTemp;12.815948
2021-12-02 13:15:00;airTemp;12.169903
2021-12-02 13:30:00;airTemp;11.370939
2021-12-02 13:45:00;airTemp;10.607187
2021-12-02 14:00:00;airTemp;9.9536343
2021-12-02 14:15:00;airTemp;9.5235844
2021-12-02 14:30:00;airTemp;9.2203741
2021-12-02 14:45:00;airTemp;8.9666653
2021-12-02 15:00:00;airTemp;8.997735
2021-12-02 15:15:00;airTemp;8.7935305
2021-12-02 15:30:00;airTemp;8.4935656
2021-12-02 15:45:00;airTemp;8.2978716
2021-12-02 16:00:00;airTemp;8.1635122
2021-12-02 16:15:00;airTemp;7.8968668
2021-12-02 16:30:00;airTemp;7.6656828
2021-12-02 16:45:00;airTemp;7.5334053
2021-12-02 17:00:00;airTemp;7.4000778
2021-12-02 17:15:00;airTemp;7.4000001
2021-12-02 17:30:00;airTemp;7.2683883
2021-12-02 17:45:00;airTemp;7.1344743
2021-12-02 18:00:00;airTemp;6.9692407
