date;Evènement;Etat
2021-12-07 10:12:44;Changement d’état de la filtration;1 Marche AUTO
2021-12-07 10:12:44;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 10:43:22;Changement d’état de la filtration;2 Marche manuel ON
2021-12-07 11:22:19;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-07 11:22:19;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-07 11:27:24;Changement d’état de la filtration;2 Marche manuel ON
2021-12-07 11:27:24;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 13:12:30;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-07 13:12:30;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-07 13:17:17;Changement d’état de la filtration;2 Marche manuel ON
2021-12-07 13:17:17;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 13:25:24;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-07 13:25:24;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-07 13:26:14;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 13:26:15;Changement d’état de la filtration;2 Marche manuel ON
2021-12-07 14:59:07;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-07 14:59:07;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-07 15:03:48;Changement d’état de la filtration;2 Marche manuel ON
2021-12-07 15:03:48;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 15:04:11;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-07 15:04:11;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-07 15:04:42;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-07 15:04:43;Changement d’état de la filtration;2 Marche manuel ON
2021-12-08 09:06:54;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-08 09:06:54;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-08 09:13:12;Changement d’état de la filtration;2 Marche manuel ON
2021-12-08 09:13:12;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-08 09:50:11;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-08 09:50:12;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-08 09:52:18;Changement d’état de la filtration;2 Marche manuel ON
2021-12-08 09:52:18;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-08 10:11:56;Changement d’état de la filtration;1 Marche AUTO
2021-12-08 10:30:15;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-08 10:30:15;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-08 10:35:52;Changement d’état de la filtration;1 Marche AUTO
2021-12-08 10:35:52;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-08 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-08 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-08 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-08 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-08 16:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-08 16:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 00:44:44;Changement état de hivernage;3 inconnu
2021-12-09 01:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 01:23:00;Changement état de hivernage;4 inconnu
2021-12-09 01:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 01:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 01:38:00;Changement état de hivernage;3 inconnu
2021-12-09 01:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 02:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 02:23:00;Changement état de hivernage;4 inconnu
2021-12-09 02:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 02:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 02:38:00;Changement état de hivernage;3 inconnu
2021-12-09 02:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 03:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 03:23:00;Changement état de hivernage;4 inconnu
2021-12-09 03:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 03:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 03:38:00;Changement état de hivernage;3 inconnu
2021-12-09 03:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 04:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 04:23:00;Changement état de hivernage;4 inconnu
2021-12-09 04:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 04:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 04:38:00;Changement état de hivernage;3 inconnu
2021-12-09 04:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 05:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 05:23:00;Changement état de hivernage;4 inconnu
2021-12-09 05:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 05:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 05:38:00;Changement état de hivernage;3 inconnu
2021-12-09 05:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 06:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 06:23:00;Changement état de hivernage;4 inconnu
2021-12-09 06:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 06:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 06:38:00;Changement état de hivernage;3 inconnu
2021-12-09 06:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 07:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 07:23:00;Changement état de hivernage;4 inconnu
2021-12-09 07:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 07:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 07:38:00;Changement état de hivernage;3 inconnu
2021-12-09 07:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 08:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-09 08:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 08:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-09 08:23:00;Changement état de hivernage;4 inconnu
2021-12-09 08:38:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-09 08:38:00;Changement état de hivernage;3 inconnu
2021-12-09 09:09:26;Changement état de hivernage;2 Actif activé
2021-12-09 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-09 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-09 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-09 16:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-09 16:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-10 08:19:37;Changement d’état de la NCC;-2 inconnu
2021-12-10 08:19:38;Changement d’état de la NCC;-1 Arrêt securite
2021-12-10 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-10 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-10 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-10 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-10 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-10 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-10 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-10 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 03:37:43;Changement état de hivernage;4 inconnu
2021-12-11 03:37:44;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 03:37:44;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-11 03:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-11 03:38:00;Changement état de hivernage;3 inconnu
2021-12-11 03:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-11 04:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-11 04:23:00;Changement état de hivernage;4 inconnu
2021-12-11 04:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
